year,country_code,country_name,region,income_group,gdp_usd,population,gdp_per_capita,inflation_rate,unemployment_rate,fdi_pct_gdp,co2_emissions_kt,renewable_energy_pct,forest_area_pct,electricity_access_pct,life_expectancy,child_mortality,school_enrollment_secondary,health_expenditure_pct_gdp,internet_usage_pct,mobile_subscriptions_per_100,real_economic_growth_indicator,econ_opportunity_index,co2_emissions_per_capita_tons,co2_intensity_per_million_gdp,green_transition_score,ecological_preservation_index,human_development_composite,healthcare_capacity_index,digital_connectivity_index,health_development_ratio,education_health_ratio,years_since_2000,years_since_century,is_pandemic_period,human_development_index,climate_vulnerability_index,digital_readiness_score,global_resilience_score,cluster,pca1,pca2
-0.9,ASM,American Samoa,East Asia & Pacific,Upper middle income,-0.15128296541317302,-0.2873436295047087,0.2003800038127104,-0.14153684422701002,-0.518282065358614,-0.08498049752237653,-0.036048258152042253,-0.4078224070401192,1.0753732871967934,-0.02801788131122424,-0.1287882219705545,0.13734939759036152,-0.0483120395914449,-0.3479818397840411,-0.016841111527648753,-0.9256513423227111,0.0,0.1446592995612879,-0.10393158372344276,0.22700384713798608,-0.4078224070407411,-0.44041540450906214,-0.26882310124775355,0.0,-0.4202630035083874,-0.10810826008572104,-0.10600745348783894,-0.9,-0.9,0.0,-0.049945413148011784,-0.537641215781271,-0.5874509709404201,-0.06895240778727288,0,-2.5063014753193973,0.03508981109616824
-0.9,ASM,American Samoa,East Asia & Pacific,Upper middle income,-0.15128296541317302,-0.2873087134492602,0.2003800038127104,-0.14153684422701002,-0.518282065358614,-0.08498049752237653,-0.036048258152042253,-0.4078224070401192,1.0753732871967934,-0.02801788131122424,-0.1287882219705545,0.13734939759036152,-0.0483120395914449,-0.3479818397840411,-0.016841111527648753,-0.9227143919531975,0.0,0.1446592995612879,-0.10393158372344276,0.22700384713798608,-0.4078224070407411,-0.44041540450906214,-0.26882310124775355,0.0,-0.4202630035083874,-0.10810826008572104,-0.10600745348783894,-0.9,-0.9,0.0,-0.049945413148011784,-0.5353665437440581,-0.5859850601053389,-0.06895240778727288,0,-2.505964686380917,0.03555477065959842
-0.8,ASM,American Samoa,East Asia & Pacific,Upper middle income,-0.15128296541317302,-0.2872788807607079,0.2003800038127104,-0.14153684422701002,-0.518282065358614,-0.08498049752237653,-0.036048258152042253,-0.4078224070401192,1.0753732871967934,-0.02801788131122424,-0.1287882219705545,0.13734939759036152,-0.0483120395914449,-0.3479818397840411,-0.016841111527648753,-0.9256384154016024,0.0,0.1446592995612879,-0.10393158372344276,0.22700384713798608,-0.4078224070407411,-0.44041540450906214,-0.26882310124775355,0.0,-0.4202630035083874,-0.10810826008572104,-0.10600745348783894,-0.8,-0.8,0.0,-0.049945413148011784,-0.5330918717068452,-0.5874445187667935,-0.06895240778727288,0,-2.502670219616783,0.04095425974799356
-0.7,ASM,American Samoa,East Asia & Pacific,Upper middle income,-0.15116318362009704,-0.28725741765603513,0.2082887729924881,-0.14153684422701002,-0.518282065358614,-0.08498049752237653,-0.036048258152042253,-0.4078224070401192,1.0753732871967934,-0.02801788131122424,-0.1287882219705545,0.13734939759036152,-0.0483120395914449,-0.3479818397840411,-0.016841111527648753,-0.9246258148855843,0.0,0.1446592995612879,-0.10393158372344276,0.22700384713798608,-0.4078224070407411,-0.44041540450906214,-0.26882310124775355,0.0,-0.4202630035083874,-0.10810826008572104,-0.10600745348783894,-0.7,-0.7,0.0,-0.049945413148011784,-0.5308171996696331,-0.5869391026441894,-0.06895240778727288,0,-2.498010388266513,0.04847537685671041
-0.6,ASM,American Samoa,East Asia & Pacific,Upper middle income,-0.15131291086144202,-0.2872477130465061,0.1926060824215586,-0.14153684422701002,-0.518282065358614,-0.08498049752237653,-0.036048258152042253,-0.4078224070401192,1.0753732871967934,-0.02801788131122424,-0.1287882219705545,0.13734939759036152,-0.0483120395914449,-0.3479818397840411,-0.016841111527648753,-0.9216871987848302,0.0,0.1446592995612879,-0.10393158372344276,0.22700384713798608,-0.4078224070407411,-0.44041540450906214,-0.26882310124775355,0.0,-0.4202630035083874,-0.10810826008572104,-0.10600745348783894,-0.6,-0.6,0.0,-0.049945413148011784,-0.5285425276324199,-0.5854723603978936,-0.06895240778727288,0,-2.496224839548904,0.05130686971276992
-0.5,ASM,American Samoa,East Asia & Pacific,Upper middle income,-0.15140274720624902,-0.28725423413333245,0.18513976662236376,-0.14153684422701002,-0.518282065358614,-0.08498049752237653,-0.036048258152042253,-0.4078224070401192,1.0753732871967934,-0.02801788131122424,-0.1287882219705545,0.13734939759036152,-0.0483120395914449,-0.3479818397840411,-0.016841111527648753,-0.9216871987848302,0.0,0.1446592995612879,-0.10393158372344276,0.22700384713798608,-0.4078224070407411,-0.44041540450906214,-0.26882310124775355,0.0,-0.4202630035083874,-0.10810826008572104,-0.10600745348783894,-0.5,-0.5,0.0,-0.049945413148011784,-0.5262678555952071,-0.6084295282853178,-0.06895240778727288,0,-2.495110299708797,0.05373162242749471
-0.4,ASM,American Samoa,East Asia & Pacific,Upper middle income,-0.15147261991887667,-0.2872772376522162,0.18206206240619377,-0.14153684422701002,-0.518282065358614,-0.08498049752237653,-0.036048258152042253,-0.4078224070401192,1.0753732871967934,-0.02801788131122424,-0.1287882219705545,0.13734939759036152,-0.0483120395914449,-0.3479818397840411,-0.016841111527648753,-0.9216871987848302,0.0,0.1446592995612879,-0.10393158372344276,0.22700384713798608,-0.4078224070407411,-0.44041540450906214,-0.26882310124775355,0.0,-0.4202630035083874,-0.10810826008572104,-0.10600745348783894,-0.4,-0.4,0.0,-0.049945413148011784,-0.5239931835579942,-0.6084295282853178,-0.06895240778727288,0,-2.4919990832392602,0.05886939764208164
-0.3,ASM,American Samoa,East Asia & Pacific,Upper middle income,-0.15122307451663503,-0.28731533723036734,0.21207529610643763,-0.14153684422701002,-0.518282065358614,-0.08498049752237653,-0.036048258152042253,-0.4078224070401192,1.0753732871967934,-0.02801788131122424,-0.1287882219705545,0.13734939759036152,-0.0483120395914449,-0.3479818397840411,-0.016841111527648753,-0.9216871987848302,0.0,0.1446592995612879,-0.10393158372344276,0.22700384713798608,-0.4078224070407411,-0.44041540450906214,-0.26882310124775355,0.0,-0.4202630035083874,-0.10810826008572104,-0.10600745348783894,-0.3,-0.3,0.0,-0.049945413148011784,-0.5217185115207813,-0.6084295282853178,-0.06895240778727288,0,-2.4846743392132424,0.07093943804922748
-0.2,ASM,American Samoa,East Asia & Pacific,Upper middle income,-0.15080383824086904,-0.28736036867246784,0.26071315201826156,-0.14153684422701002,-0.518282065358614,-0.08498049752237653,-0.036048258152042253,-0.4078224070401192,1.0753732871967934,-0.02801788131122424,-0.1287882219705545,0.13734939759036152,-0.0483120395914449,-0.3479818397840411,-0.016841111527648753,-0.9216871987848302,0.0,0.1446592995612879,-0.10393158372344276,0.22700384713798608,-0.4078224070407411,-0.44041540450906214,-0.26882310124775355,0.0,-0.4202630035083874,-0.10810826008572104,-0.10600745348783894,-0.2,-0.2,0.0,-0.049945413148011784,-0.5194438394835688,-0.6084295282853178,-0.06895240778727288,0,-2.474984512013193,0.0869136573387288
-0.1,ASM,American Samoa,East Asia & Pacific,Upper middle income,-0.14965592939055744,-0.28740221659186566,0.3825505654544296,-0.14153684422701002,-0.518282065358614,-0.08498049752237653,-0.036048258152042253,-0.4078224070401192,1.0753732871967934,-0.02801788131122424,-0.1287882219705545,0.13734939759036152,-0.0483120395914449,-0.3479818397840411,-0.016841111527648753,-0.9216871987848302,0.0,0.1446592995612879,-0.10393158372344276,0.22700384713798608,-0.4078224070407411,-0.44041540450906214,-0.26882310124775355,0.0,-0.4202630035083874,-0.10810826008572104,-0.10600745348783894,-0.1,-0.1,0.0,-0.049945413148011784,-0.5171691674463559,-0.6084295282853178,-0.06895240778727288,0,-2.4559526239893263,0.1182042155653164
